Timestamp,Temperature,Humidity
2024-04-07 15:32:36,30.2,42.0
2024-04-07 15:33:06,30.2,42.0
2024-04-07 15:33:36,30.2,41.9
2024-04-07 15:34:33,30.4,39.4
2024-04-07 15:35:03,30.6,42.0
2024-04-07 15:35:33,30.3,41.6
2024-04-07 15:36:03,30.0,41.4
2024-04-07 15:36:33,29.8,41.5
2024-04-07 15:37:03,29.7,41.6
2024-04-07 15:48:17,29.2,39.4
2024-04-08 12:26:56,26.7,46.7
2024-04-08 12:27:26,29.0,43.8
2024-04-08 12:27:56,29.0,43.3
2024-04-08 12:28:26,29.1,43.1
2024-04-08 12:28:56,29.3,42.6
2024-04-08 12:29:26,29.5,42.4
2024-04-08 12:29:56,31.2,46.3
2024-04-08 12:30:26,32.5,49.1
2024-04-08 12:30:56,32.8,46.1
2024-04-08 12:31:26,31.8,43.6
2024-04-08 12:31:56,31.2,41.6
2024-04-08 12:32:26,30.6,40.4
2024-04-08 12:32:56,30.2,39.7
2024-04-08 12:33:26,29.7,39.3
2024-04-08 12:33:56,29.4,39.0
2024-04-08 12:34:26,29.2,39.0
2024-04-08 12:34:56,29.0,39.0
2024-04-08 12:35:26,28.9,39.1
2024-04-08 12:35:56,28.8,39.1
2024-04-08 12:36:26,28.7,39.2
2024-04-08 12:36:56,28.7,39.2
2024-04-15 13:58:27,27.0,35.1
2024-04-15 13:58:57,27.5,37.4
2024-04-15 13:59:27,27.5,37.3
2024-04-15 13:59:57,27.4,37.3
2024-04-15 14:00:27,27.5,37.1
2024-04-15 14:00:57,27.5,37.0
2024-04-15 14:01:27,27.4,37.0
2024-04-15 14:01:57,27.3,37.0
2024-04-15 14:02:27,27.4,37.0
2024-04-15 14:02:57,27.5,37.0
